Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,Complain,Response,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases
1957,PG,Single,58138.0,04-09-2012,58,0,1,0,1617,0,25
1954,PG,Single,46344.0,08-03-2014,38,0,0,2,27,0,6
1965,PG,relationship,71613.0,21-08-2013,26,0,0,0,776,0,21
1984,PG,relationship,26646.0,10-02-2014,26,0,0,1,53,0,8
1981,PG,relationship,58293.0,19-01-2014,94,0,0,1,422,0,19
1967,PG,relationship,62513.0,09-09-2013,16,0,0,1,716,0,22
1971,PG,Single,55635.0,13-11-2012,34,0,0,1,590,0,21
1985,PG,relationship,33454.0,08-05-2013,32,0,0,1,169,0,10
1974,PG,relationship,30351.0,06-06-2013,19,0,1,1,46,0,6
1950,PG,relationship,5648.0,13-03-2014,68,0,0,2,49,1,2
1983,PG,relationship,52247.25135379061,15-11-2013,11,0,0,1,19,0,4
1976,UG,relationship,7500.0,13-11-2012,59,0,0,0,61,0,6
1959,PG,Single,63033.0,15-11-2013,82,0,0,0,1102,0,16
1952,PG,Single,59354.0,15-11-2013,53,0,0,2,310,0,15
1987,PG,relationship,17323.0,10-10-2012,38,0,0,0,46,0,5
1946,PG,Single,82800.0,24-11-2012,23,0,1,0,1315,2,26
1980,PG,relationship,41850.0,24-12-2012,51,0,0,2,96,0,9
1946,PG,relationship,37760.0,31-08-2012,20,0,0,0,317,0,13
1985,PG,Single,33812.0,03-11-2012,86,0,0,1,133,0,8
1982,PG,relationship,37040.0,08-08-2012,41,0,0,0,316,0,12
1949,PG,relationship,58607.0,23-12-2012,63,0,0,1,972,1,17
1954,PG,relationship,65324.0,11-01-2014,0,0,0,1,544,0,20
1951,PG,relationship,40689.0,18-03-2013,69,0,0,1,444,0,20
1969,PG,Single,18589.0,02-01-2013,89,0,0,0,75,0,8
1976,PG,relationship,53359.0,27-05-2013,4,0,0,2,257,0,14
1986,PG,Single,52247.25135379061,20-02-2013,19,0,0,1,637,0,27
1989,PG,relationship,38360.0,31-05-2013,26,0,0,1,131,0,9
1965,PG,relationship,84618.0,22-11-2013,96,0,0,0,1672,1,26
1989,PG,Single,10979.0,22-05-2014,34,0,0,0,30,0,8
1963,PG,relationship,38620.0,11-05-2013,56,0,0,0,318,0,11
1970,PG,relationship,40548.0,10-10-2012,31,0,0,1,120,1,9
1952,PG,Single,46610.0,29-10-2012,8,0,1,2,302,0,17
1946,PG,relationship,68657.0,20-02-2013,4,0,0,0,1196,0,18
1951,PG,Single,49389.0,29-08-2013,55,0,0,2,65,0,6
1970,PG,relationship,67353.0,31-12-2013,37,0,0,1,913,0,28
1976,PG,relationship,23718.0,02-09-2013,76,0,0,1,81,0,9
1973,PG,Single,42429.0,11-02-2014,99,0,0,1,67,0,7
1943,PG,Single,48948.0,01-02-2013,53,0,1,0,902,1,24
1980,PG,relationship,80011.0,29-04-2013,3,0,0,1,1395,0,21
1985,PG,relationship,20559.0,12-03-2013,88,0,0,1,53,0,7
1957,PG,relationship,21994.0,24-12-2012,4,0,0,1,22,0,4
1959,PG,Single,52247.25135379061,05-11-2013,80,0,0,0,186,0,9
1975,PG,relationship,7500.0,02-10-2013,19,0,0,1,31,0,8
1976,PG,Single,79941.0,28-06-2014,72,0,0,0,984,0,16
1996,PG,relationship,7500.0,09-11-2012,24,0,1,0,122,0,10
1968,PG,relationship,41728.0,24-05-2013,92,0,0,1,55,0,5
1951,PG,Single,52247.25135379061,01-01-2014,96,0,0,3,124,0,10
1954,PG,relationship,72550.0,08-11-2012,39,0,0,2,1319,0,28
1957,PG,Single,65486.0,12-05-2014,29,0,0,1,507,0,17
1964,PG,relationship,79143.0,11-08-2012,2,0,0,0,1693,0,29
1977,PG,Single,35790.0,02-01-2013,54,0,0,1,72,0,7
1977,PG,Single,82582.0,07-06-2014,54,0,1,0,1617,2,21
1978,PG,relationship,66373.0,12-06-2013,57,0,0,2,606,0,23
1966,PG,Single,70287.0,02-04-2013,30,0,1,0,1093,0,21
1988,PG,Single,27938.0,28-04-2014,31,0,0,1,29,0,6
1982,PG,Single,52247.25135379061,17-06-2013,57,0,0,1,46,0,7
1968,PG,relationship,55954.0,03-03-2014,63,0,0,1,518,0,19
1982,PG,Single,75777.0,04-07-2013,12,0,1,0,1438,2,21
1975,PG,relationship,66653.0,07-09-2012,18,0,0,2,612,0,22
1952,PG,Single,61823.0,18-02-2013,26,0,0,1,884,0,24
1951,PG,Single,67680.0,11-06-2013,8,0,0,1,606,0,19
